2026-03-20 04:06:43 | INFO | application.py:128 | start | Init ReMe with config: {"backend":"","app_name":"ReMe","working_dir":"/Users/zhiyunlian/.copaw","enable_logo":false,"language":"","thread_pool_max_workers":16,"ray_max_workers":-1,"log_to_console":false,"disabled_flows":[],"enabled_flows":[],"mcp_servers":{},"mcp":{"transport":"stdio","host":"0.0.0.0","port":8001},"http":{"host":"0.0.0.0","port":8001,"timeout_keep_alive":3600,"limit_concurrency":1000},"cmd":{"flow":""},"ops":{},"flows":{},"llms":{},"embedding_models":{"default":{"backend":"openai","model_name":"","dimensions":1024,"enable_cache":true,"use_dimensions":false,"max_cache_size":2000,"max_input_length":8192,"max_batch_size":10}},"vector_stores":{},"file_stores":{"default":{"backend":"chroma","store_name":"copaw","embedding_model":"default","vector_enabled":false,"fts_enabled":true}},"token_counters":{},"file_watchers":{"default":{"backend":"full","file_store":"default","watch_paths":["/Users/zhiyunlian/.copaw/MEMORY.md","/Users/zhiyunlian/.copaw/memory.md","/Users/zhiyunlian/.copaw/memory"],"suffix_filters":[".md"],"recursive":false,"scan_on_start":true}},"metadata":{}}
2026-03-20 04:06:43 | INFO | base_embedding_model.py:141 | _load_cache | No cache file found at /Users/zhiyunlian/.copaw/embedding_cache/embedding_cache.jsonl, starting with empty cache
2026-03-20 04:06:43 | INFO | chroma_file_store.py:134 | start | ChromaDB initialized with collection: chunks_copaw
2026-03-20 04:06:43 | INFO | chroma_file_store.py:135 | start | File metadata will be persisted to: /Users/zhiyunlian/.copaw/copaw_file_metadata.json
2026-03-20 04:06:43 | INFO | base_file_watcher.py:137 | _scan_existing_files | [SCAN_ON_START] Found 2 existing files matching watch criteria
2026-03-20 04:06:43 | INFO | full_file_watcher.py:65 | _on_changes | delete_file /Users/zhiyunlian/.copaw/MEMORY.md
2026-03-20 04:06:43 | INFO | full_file_watcher.py:68 | _on_changes | Upserted 1 chunks for /Users/zhiyunlian/.copaw/MEMORY.md
2026-03-20 04:06:43 | INFO | full_file_watcher.py:77 | _on_changes | File 1 changed: /Users/zhiyunlian/.copaw/MEMORY.md
2026-03-20 04:06:43 | INFO | full_file_watcher.py:65 | _on_changes | delete_file /Users/zhiyunlian/.copaw/memory.md
2026-03-20 04:06:43 | INFO | full_file_watcher.py:68 | _on_changes | Upserted 1 chunks for /Users/zhiyunlian/.copaw/memory.md
2026-03-20 04:06:43 | INFO | full_file_watcher.py:77 | _on_changes | File 1 changed: /Users/zhiyunlian/.copaw/memory.md
2026-03-20 04:06:43 | INFO | base_file_watcher.py:184 | on_changes | [FullFileWatcher] on_changes: {(<Change.added: 1>, '/Users/zhiyunlian/.copaw/MEMORY.md'), (<Change.added: 1>, '/Users/zhiyunlian/.copaw/memory.md')}
2026-03-20 04:06:43 | INFO | base_file_watcher.py:139 | _scan_existing_files | [SCAN_ON_START] Added 2 files to memory store
2026-03-20 04:06:43 | INFO | base_file_watcher.py:146 | _scan_existing_files | Found existing file: /Users/zhiyunlian/.copaw/MEMORY.md, 1 chunks
2026-03-20 04:06:43 | INFO | base_file_watcher.py:146 | _scan_existing_files | Found existing file: /Users/zhiyunlian/.copaw/memory.md, 1 chunks
2026-03-20 04:06:43 | INFO | base_file_watcher.py:82 | start | Started watching: ['/Users/zhiyunlian/.copaw/MEMORY.md', '/Users/zhiyunlian/.copaw/memory.md', '/Users/zhiyunlian/.copaw/memory']
2026-03-20 04:06:44 | INFO | application.py:242 | close | Closing file store: default
2026-03-20 04:06:44 | INFO | application.py:246 | close | Closing file watcher: default
2026-03-20 04:06:44 | INFO | base_file_watcher.py:93 | close | Stopped watching
2026-03-20 04:06:44 | INFO | application.py:254 | close | Closing embedding model: default
2026-03-20 04:06:44 | INFO | base_embedding_model.py:198 | _save_cache | Attempting to save cache, current size: 0
2026-03-20 04:06:44 | INFO | base_embedding_model.py:200 | _save_cache | Cache is empty, skipping save
2026-03-20 04:06:49 | WARNING | application.py:234 | close | Application is not started
